OUTRA VISTA,6,2,4
ROMARIA,3,1,1
NIGHT OF ROSE,5,2,3
SKYLINE,2,0,1
DEVENOGE,4,0,4
ISLA GORRITI,7,3,2
GEVREY-CHAMBERTAIN,4,1,3
TEMPEST SHADOW,5,2,3
RUN DO IGUASSU,2,1,0
LALINHA,3,1,0
ROAD DO IGUASSU,0,0,0
TAMARA,4,1,3
